Eruption Number,Volcano Name,Eruption Category,Evidence Type,Evidence Method,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day
10736,Pacaya,Confirmed,Correlation,Tephrochronology,3,880,,,,,
19933,Brennisteinsfjoll,Confirmed,Isotopic,14C (uncalibrated),2,875,,,,,
17028,Ata,Confirmed,Observations,Reported,4,874,3,29,874,7,
18018,Chokaisan,Confirmed,Observations,Reported,2,871,5,5,,,
17437,Fujisan,Confirmed,Observations,Reported,2,870,8,,,,
18526,Alamagan,Confirmed,Isotopic,14C (uncalibrated),4,870,,,,,
12854,Bardarbunga,Confirmed,Correlation,Tephrochronology,4,870,,,,,
12687,Torfajokull,Confirmed,Correlation,Tephrochronology,3,870,,,,,
17199,Asosan,Confirmed,Observations,Reported,2,867,6,20,,,
17368,Yufu-Tsurumi,Confirmed,Observations,Reported,3,867,3,4,867,5,4
17027,Ata,Uncertain,Uncertain,Unspecified,2,866,5,,,,
17198,Asosan,Confirmed,Observations,Reported,3,864,11,9,,,
17436,Fujisan,Confirmed,Observations,Reported,3,864,6,12,866,2,1
18017,Chokaisan,Uncertain,Uncertain,Unspecified,3,861,5,,,,
17026,Ata,Uncertain,Uncertain,Unspecified,2,860,4,,,,
13316,Vesuvius,Confirmed,Correlation,Magnetism,0,860,,,,,
12204,Puyehue-Cordon Caulle,Confirmed,Isotopic,14C (calibrated),5,860,,,,,
17104,Kirishimayama,Confirmed,Observations,Reported,2,858,,,,,
17103,Kirishimayama,Confirmed,Observations,Reported,2,857,,,,,
18248,Niijima,Confirmed,Observations,Reported,2,856,,,857,,
18173,Izu-Oshima,Confirmed,Observations,Reported,4,854,9,14,856,,
18256,Miyakejima,Confirmed,Observations,Reported,4,850,,,,,
19262,Kizimen,Confirmed,Correlation,Tephrochronology,3,850,,,,,
19878,Kilauea,Confirmed,Isotopic,14C (calibrated),0,850,,,,,
10333,Northern EPR at 9.8°N,Confirmed,Isotopic,Uranium-series,0,850,,,,,
